author,commitHash,additions,deletions,filePath,filesChanged
cbarbes1,3cf576ff4beb5690795a4b03429986f523259c9a,42,23,Cole_AI_TextAnalysis/TextAnalysis/gptAnalysis.py,1
SpencerPresley,7c8ae1813c65360a8efa1218ce961d58fa103899,1,1,su-research/src/components/HomePage.js,2
SpencerPresley,7c8ae1813c65360a8efa1218ce961d58fa103899,1,1,su-research/src/components/TopicPage.js,2
cbarbes,5b8b1895227148af90c55945f37f9f36174fa8c9,11,2,Cole_AI_TextAnalysis/TextAnalysis/gptAnalysis.py,1
SpencerPresley,8eb10338fc5046f03ad78a4a3ed47e57d082686a,6,0,su-research/README.md,8
SpencerPresley,8eb10338fc5046f03ad78a4a3ed47e57d082686a,74,0,su-research/src/App.css,8
SpencerPresley,8eb10338fc5046f03ad78a4a3ed47e57d082686a,21,0,su-research/src/App.js,8
SpencerPresley,8eb10338fc5046f03ad78a4a3ed47e57d082686a,8,0,su-research/src/App.test.js,8
SpencerPresley,8eb10338fc5046f03ad78a4a3ed47e57d082686a,18,0,su-research/src/index.css,8
SpencerPresley,8eb10338fc5046f03ad78a4a3ed47e57d082686a,17,0,su-research/src/index.js,8
SpencerPresley,8eb10338fc5046f03ad78a4a3ed47e57d082686a,13,0,su-research/src/reportWebVitals.js,8
SpencerPresley,8eb10338fc5046f03ad78a4a3ed47e57d082686a,5,0,su-research/src/setupTests.js,8
SpencerPresley,b562b1f35402795c8a3e50228a9ff83a6401914c,17,6,FrontEnd/templates/html/Version1/ArticleAZ.html,3
SpencerPresley,b562b1f35402795c8a3e50228a9ff83a6401914c,7,5,FrontEnd/templates/html/Version1/FacultyAZ.html,3
SpencerPresley,b562b1f35402795c8a3e50228a9ff83a6401914c,19,5,FrontEnd/templates/html/Version1/TopicAZ.html,3
SpencerPresley,740c3f32e47408efb38256b752892331dc63a196,0,74,su-research/src/App.css,8
SpencerPresley,740c3f32e47408efb38256b752892331dc63a196,0,21,su-research/src/App.js,8
SpencerPresley,740c3f32e47408efb38256b752892331dc63a196,0,8,su-research/src/App.test.js,8
SpencerPresley,740c3f32e47408efb38256b752892331dc63a196,0,19,su-research/src/index.css,8
SpencerPresley,740c3f32e47408efb38256b752892331dc63a196,0,17,su-research/src/index.js,8
SpencerPresley,740c3f32e47408efb38256b752892331dc63a196,0,1,su-research/src/logo.svg,8
SpencerPresley,740c3f32e47408efb38256b752892331dc63a196,0,13,su-research/src/reportWebVitals.js,8
SpencerPresley,740c3f32e47408efb38256b752892331dc63a196,0,5,su-research/src/setupTests.js,8
Spencer Presley,62ee562478b8c10dd8ce45140ac6470c6081c371,25,16,PythonCode/Utilities/AbstractCategoryMap.py,3
Spencer Presley,62ee562478b8c10dd8ce45140ac6470c6081c371,-,-,PythonCode/Utilities/category_dict.pkl,3
Spencer Presley,62ee562478b8c10dd8ce45140ac6470c6081c371,1,1,PythonCode/Utilities/wos_classification.py,3
Spencer Presley,028835a8bdda228dbb57c1d7af9a635915ccee47,28,0,PythonCode/Utilities/AbstractCategoryMap.py,5
Spencer Presley,028835a8bdda228dbb57c1d7af9a635915ccee47,20,6,PythonCode/Utilities/AttributeExtractionStrategies.py,5
Spencer Presley,028835a8bdda228dbb57c1d7af9a635915ccee47,-,-,PythonCode/Utilities/category_dict.pkl,5
Spencer Presley,028835a8bdda228dbb57c1d7af9a635915ccee47,0,75,PythonCode/Utilities/utilities.py,5
Spencer Presley,028835a8bdda228dbb57c1d7af9a635915ccee47,2,0,PythonCode/Utilities/wos_classification.py,5
Spencer Presley,4e448f724ab729bf5456b5fe25a42a549aafa62f,162,0,PythonCode/Utilities/AttributeExtractionStrategies.py,3
Spencer Presley,4e448f724ab729bf5456b5fe25a42a549aafa62f,-,-,PythonCode/Utilities/category_dict.pkl,3
Spencer Presley,4e448f724ab729bf5456b5fe25a42a549aafa62f,1,275,PythonCode/Utilities/utilities.py,3
Spencer Presley,e9a65d0d2f5d88f85abf475bab4509c3bd20f901,-,-,PythonCode/Utilities/category_dict.pkl,2
Spencer Presley,e9a65d0d2f5d88f85abf475bab4509c3bd20f901,61,11,PythonCode/Utilities/utilities.py,2
Spencer Presley,227207f9b7848143125a45f9c915524de182c107,-,-,PythonCode/Utilities/category_dict.pkl,2
Spencer Presley,227207f9b7848143125a45f9c915524de182c107,49,20,PythonCode/Utilities/utilities.py,2
Spencer Presley,2d90c2c2e597269bde2c3c693abb9a99dea6a905,-,-,PythonCode/Utilities/category_dict.pkl,6
Spencer Presley,2d90c2c2e597269bde2c3c693abb9a99dea6a905,0,6,PythonCode/Utilities/category_processor.py,6
Spencer Presley,2d90c2c2e597269bde2c3c693abb9a99dea6a905,4,2,PythonCode/Utilities/faculty_set_postprocessor.py,6
Spencer Presley,2d90c2c2e597269bde2c3c693abb9a99dea6a905,8,4,PythonCode/Utilities/file_handler.py,6
Spencer Presley,2d90c2c2e597269bde2c3c693abb9a99dea6a905,71,11,PythonCode/Utilities/utilities.py,6
Spencer Presley,2d90c2c2e597269bde2c3c693abb9a99dea6a905,5,3,PythonCode/Utilities/wos_classification.py,6
Spencer Presley,79dfe5be7d06d3bcde80f622ac7b528d3cbecc9d,-,-,PythonCode/Utilities/category_dict.pkl,2
Spencer Presley,79dfe5be7d06d3bcde80f622ac7b528d3cbecc9d,17,17,PythonCode/Utilities/wos_classification.py,2
cbarbes,779794f29a6c99926ba95b066cdeb1cb6750ba62,43,24,Cole_AI_TextAnalysis/TextAnalysis/gptAnalysis.py,2
cbarbes,779794f29a6c99926ba95b066cdeb1cb6750ba62,37,0,Cole_AI_TextAnalysis/TextAnalysis/helper.py,2
SpencerPresley,08433a4778b569ccf3573469b7082da03085742c,-,-,su-research/public/suVid.mp4,1
SpencerPresley,5b4906b93e2fd90a18ed2bfcec3b006e70274340,84,1,.gitignore,23
SpencerPresley,5b4906b93e2fd90a18ed2bfcec3b006e70274340,21,0,Cole_AI_TextAnalysis/TextAnalysis/TaxonomyFrameworkPlan.md,23
SpencerPresley,5b4906b93e2fd90a18ed2bfcec3b006e70274340,50,0,FrontEnd/server_2.py,23
SpencerPresley,5b4906b93e2fd90a18ed2bfcec3b006e70274340,-,-,FrontEnd/static/image/Aragorn.jpg,23
SpencerPresley,5b4906b93e2fd90a18ed2bfcec3b006e70274340,-,-,FrontEnd/static/image/Gandalf.jpg,23
SpencerPresley,5b4906b93e2fd90a18ed2bfcec3b006e70274340,-,-,FrontEnd/static/image/Gimli.jpg,23
SpencerPresley,5b4906b93e2fd90a18ed2bfcec3b006e70274340,-,-,FrontEnd/static/image/Legolas.jpg,23
SpencerPresley,5b4906b93e2fd90a18ed2bfcec3b006e70274340,22,0,FrontEnd/static/java/articleBody.js,23
SpencerPresley,5b4906b93e2fd90a18ed2bfcec3b006e70274340,26,0,FrontEnd/static/java/facultyBody.js,23
SpencerPresley,5b4906b93e2fd90a18ed2bfcec3b006e70274340,19,0,FrontEnd/static/java/header.js,23
SpencerPresley,5b4906b93e2fd90a18ed2bfcec3b006e70274340,50,0,FrontEnd/static/java/indexBody.js,23
SpencerPresley,5b4906b93e2fd90a18ed2bfcec3b006e70274340,16,0,FrontEnd/static/java/search.js,23
SpencerPresley,5b4906b93e2fd90a18ed2bfcec3b006e70274340,20,0,FrontEnd/templates/html/ErrorPages/404.html,23
SpencerPresley,5b4906b93e2fd90a18ed2bfcec3b006e70274340,20,0,FrontEnd/templates/html/ErrorPages/500.html,23
SpencerPresley,5b4906b93e2fd90a18ed2bfcec3b006e70274340,55,0,FrontEnd/templates/html/Version1/Article.html,23
